dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
 98.5000   -0.278971    0.263955   -0.278971    0.263955
 99.0000   -0.465611    0.203433   -0.465611    0.203433
 99.5000   -0.609708    0.075084   -0.609708    0.075084
100.0000   -0.673094   -0.110096   -0.673094   -0.110096
100.5000   -0.630828   -0.324371   -0.630828   -0.324371
101.0000   -0.477800   -0.528235   -0.477800   -0.528235
101.5000   -0.231160   -0.678573   -0.231160   -0.678573
102.0000    0.072064   -0.738236    0.072064   -0.738236
102.5000    0.381747   -0.684856    0.381747   -0.684856
103.0000    0.644418   -0.516848    0.644418   -0.516848
103.5000    0.813911   -0.255132    0.813911   -0.255132
104.0000    0.860611    0.059982    0.860611    0.059982
104.5000    0.777310    0.376184    0.777310    0.376184
105.0000    0.580437    0.639326    0.580437    0.639326
105.5000    0.306439    0.804200    0.306439    0.804200
106.0000    0.004148    0.843593    0.004148    0.843593
106.5000   -0.275169    0.753665   -0.275169    0.753665
107.0000   -0.487900    0.554451   -0.487900    0.554451
107.5000   -0.606171    0.285411   -0.606171    0.285411
108.0000   -0.622251   -0.002999   -0.622251   -0.002999
108.5000   -0.548465   -0.259864   -0.548465   -0.259864
109.0000   -0.412840   -0.444126   -0.412840   -0.444126
109.5000   -0.251620   -0.532439   -0.251620   -0.532439
110.0000   -0.100477   -0.522876   -0.100477   -0.522876
110.5000    0.013520   -0.433782    0.013520   -0.433782
111.0000    0.077375   -0.298151    0.077375   -0.298151
111.5000    0.093884   -0.154946    0.093884   -0.154946
112.0000    0.079359   -0.039444    0.079359   -0.039444
112.5000    0.058025    0.025105    0.058025    0.025105
113.0000    0.054567    0.032559    0.054567    0.032559
113.5000    0.086693   -0.005455    0.086693   -0.005455
114.0000    0.159577   -0.063389    0.159577   -0.063389
114.5000    0.263584   -0.109162    0.263584   -0.109162
115.0000    0.375864   -0.113242    0.375864   -0.113242
115.5000    0.465511   -0.057191    0.465511   -0.057191
116.0000    0.501097    0.060473    0.501097    0.060473
116.5000    0.458814    0.222602    0.458814    0.222602
117.0000    0.329289    0.396437    0.329289    0.396437
117.5000    0.121397    0.540740    0.121397    0.540740
118.0000   -0.137933    0.615420   -0.137933    0.615420
118.5000   -0.408017    0.591429   -0.408017    0.591429
119.0000   -0.642022    0.458583   -0.642022    0.458583
119.5000   -0.796260    0.229386   -0.796260    0.229386
120.0000   -0.839212   -0.062168   -0.839212   -0.062168
120.5000   -0.758302   -0.366701   -0.758302   -0.366701
121.0000   -0.562937   -0.629231   -0.562937   -0.629231
121.5000   -0.283129   -0.800503   -0.283129   -0.800503
122.0000    0.036055   -0.847378    0.036055   -0.847378
122.5000    0.343057   -0.759976    0.343057   -0.759976
123.0000    0.589596   -0.553930    0.589596   -0.553930
123.5000    0.739632   -0.267244    0.739632   -0.267244
124.0000    0.775654    0.047587    0.775654    0.047587
124.5000    0.701077    0.334451    0.701077    0.334451
125.0000    0.538342    0.545105    0.538342    0.545105
125.5000    0.323282    0.648725    0.323282    0.648725
126.0000    0.097080    0.637471    0.097080    0.637471
